district,n,ic,p,survives_bh10
Atlanta,122,0.1344131834210761,0.13992631951725604,False
Boston,122,0.006897616700502437,0.9398938714282642,False
Chicago,122,-0.0016480293451482607,0.9856263303862598,False
Cleveland,122,-0.04234470564437835,0.643288751882012,False
Dallas,122,-0.10251479006700076,0.2611745115999189,False
Kansas City,122,-0.040735430023140035,0.6559652300997376,False
Minneapolis,122,0.10623459931215293,0.24417328610662964,False
New York,122,0.045996780621137226,0.614902888923385,False
Philadelphia,122,0.01287920217045456,0.8880304575772083,False
Richmond,122,0.05388499310135607,0.5555389006643744,False
San Francisco,122,-0.15642640107112996,0.0853219466809339,False
St. Louis,122,0.08311520012429374,0.36273670216376275,False
