release_date,release_stem,district,source_format,polarity,subjectivity,positive_count,negative_count,word_count
2010-01-13,201001,Atlanta,legacy,-0.0232558134126555,0.1009389668992043,21,22,426
2010-01-13,201001,Boston,legacy,0.1153846131656805,0.0791476406710081,29,23,657
2010-01-13,201001,Chicago,legacy,-0.0357142850765306,0.0934891484248929,27,29,599
2010-01-13,201001,Cleveland,legacy,-0.1044776103809311,0.1033950615688347,30,37,648
2010-01-13,201001,Dallas,legacy,-0.1168831153651543,0.1066481992982712,34,43,722
2010-01-13,201001,Kansas City,legacy,-0.2894736804016621,0.1386861311337844,27,49,548
2010-01-13,201001,Minneapolis,legacy,-0.1428571387755103,0.0839328535157485,15,20,417
2010-01-13,201001,New York,legacy,-0.1739130396975426,0.0804195802789867,19,27,572
2010-01-13,201001,Philadelphia,legacy,-0.2093023207138995,0.0819047617487528,17,26,525
2010-01-13,201001,Richmond,legacy,0.0149253729115616,0.0930555554263117,34,33,720
2010-01-13,201001,San Francisco,legacy,-0.0943396208615166,0.1045364889456874,24,29,507
2010-01-13,201001,St. Louis,legacy,-0.047619045351474,0.0610465114504461,10,11,344
2010-03-03,201003,Atlanta,legacy,-0.1999999955555556,0.0997782702887399,18,27,451
2010-03-03,201003,Boston,legacy,-0.1594202875446335,0.0922459891814893,29,40,748
2010-03-03,201003,Chicago,legacy,-0.2499999955357143,0.1037037035116598,21,35,540
2010-03-03,201003,Cleveland,legacy,0.1176470570934256,0.0975609754697833,38,30,697
2010-03-03,201003,Dallas,legacy,0.0136986299493338,0.1067251460427994,37,36,684
2010-03-03,201003,Kansas City,legacy,0.0,0.10420168049714,31,31,595
2010-03-03,201003,Minneapolis,legacy,0.09090908815427,0.0694736840642659,18,15,475
2010-03-03,201003,New York,legacy,-0.2549019557862362,0.0800627942228213,19,32,637
2010-03-03,201003,Philadelphia,legacy,-0.0476190468631897,0.1021069690403452,30,33,617
2010-03-03,201003,Richmond,legacy,-0.4492753558076036,0.1008771928349748,19,50,684
2010-03-03,201003,San Francisco,legacy,-0.2195121897679953,0.0840163932704582,16,25,488
2010-03-03,201003,St. Louis,legacy,-0.3939393820018369,0.0753424655814098,10,23,438
2010-04-14,201004,Atlanta,legacy,0.0,0.1116279067171444,24,24,430
2010-04-14,201004,Boston,legacy,-0.0985915479071613,0.0986111109741512,32,39,720
2010-04-14,201004,Chicago,legacy,0.087719296706679,0.1130952378708427,31,26,504
2010-04-14,201004,Cleveland,legacy,0.0158730156210632,0.0960365852194564,32,31,656
2010-04-14,201004,Dallas,legacy,0.1621621599707816,0.1008174385547446,43,31,734
2010-04-14,201004,Kansas City,legacy,0.1594202875446335,0.1096979330529444,40,29,629
2010-04-14,201004,Minneapolis,legacy,0.2352941107266438,0.0709812107077636,21,13,479
2010-04-14,201004,New York,legacy,0.0,0.0966666665055555,29,29,600
2010-04-14,201004,Philadelphia,legacy,0.04999999875,0.0733944952781752,21,19,545
2010-04-14,201004,Richmond,legacy,-0.0153846151479289,0.0916784201809895,32,33,709
2010-04-14,201004,San Francisco,legacy,-0.0434782599243856,0.086629001720096,22,24,531
2010-04-14,201004,St. Louis,legacy,0.0,0.0896358540906558,16,16,357
2010-06-09,201006,Atlanta,legacy,-0.1111111090534979,0.0976491860802003,24,30,553
2010-06-09,201006,Boston,legacy,0.1818181790633609,0.0856031127294382,39,27,771
2010-06-09,201006,Chicago,legacy,0.114754096479441,0.1155303028114956,34,27,528
2010-06-09,201006,Cleveland,legacy,0.152542370295892,0.0874074072779149,34,25,675
