ticker,year,hq_state,total_deposits_k,hq_state_deposits_k,locality,n_states,n_branches,n_certs,top_state,top_state_share
ABCB,2009,GA,2025288.0,1187362.0,0.5862682245685552,4,51,1,GA,0.5862682245685552
ABCB,2010,GA,2086552.0,1247911.0,0.5980732807042431,4,56,1,GA,0.5980732807042431
ABCB,2011,GA,2516870.0,1519528.0,0.6037371814992432,4,60,1,GA,0.6037371814992432
ABCB,2012,GA,2546405.0,1623115.0,0.637414315476132,4,68,1,GA,0.637414315476132
ABCB,2013,GA,2443312.0,1578861.0,0.6461970472866339,4,57,1,GA,0.6461970472866339
ABCB,2014,GA,3026295.0,1635563.0,0.5404506170085864,4,71,1,GA,0.5404506170085864
ABCB,2015,GA,4512524.0,2432311.0,0.5390134213136595,4,106,1,GA,0.5390134213136595
ABCB,2016,GA,5185506.0,2544750.0,0.4907428513244416,4,103,1,GA,0.4907428513244416
ABCB,2017,GA,5798374.0,2837241.0,0.48931666015334646,4,99,1,GA,0.48931666015334646
ABCB,2018,GA,8770226.0,5331128.0,0.6078666615888804,4,129,1,GA,0.6078666615888804
ABCB,2019,GA,9594935.0,5482630.0,0.5714087693142267,4,118,1,GA,0.5714087693142267
ABCB,2020,GA,15662243.0,10632398.0,0.6788553848896356,4,176,1,GA,0.6788553848896356
ABCB,2021,GA,18396025.0,12657707.0,0.6880675037134381,5,170,1,GA,0.6880675037134381
ABCB,2022,GA,19832780.0,13354220.0,0.6733408024492784,5,168,1,GA,0.6733408024492784
ABCB,2023,GA,20544509.0,13956899.0,0.679349358020676,5,168,1,GA,0.679349358020676
ABCB,2024,GA,21574192.0,14641154.0,0.678642055285315,5,168,1,GA,0.678642055285315
ABCB,2025,GA,22113152.0,14920140.0,0.6747179235235212,5,168,1,GA,0.6747179235235212
ALRS,2009,ND,641803.0,618418.0,0.9635635857108801,3,13,1,ND,0.9635635857108801
ALRS,2010,ND,909507.0,640091.0,0.7037779808181795,3,15,1,ND,0.7037779808181795
ALRS,2011,ND,984575.0,677848.0,0.6884676129294366,3,15,1,ND,0.6884676129294366
ALRS,2012,ND,992574.0,712578.0,0.7179091936722098,3,15,1,ND,0.7179091936722098
ALRS,2013,ND,1062913.0,770181.0,0.7245945811181159,3,14,1,ND,0.7245945811181159
ALRS,2014,ND,1232383.0,816829.0,0.6628045015226598,3,15,1,ND,0.6628045015226598
ALRS,2015,ND,1308816.0,895646.0,0.6843177345020232,3,15,1,ND,0.6843177345020232
ALRS,2016,ND,1679451.0,954545.0,0.5683672819272488,3,21,1,ND,0.5683672819272488
ALRS,2017,ND,1648948.0,976930.0,0.5924565237957776,3,18,1,ND,0.5924565237957776
ALRS,2018,ND,1800909.0,938863.0,0.521327285276491,3,18,1,ND,0.521327285276491
ALRS,2019,ND,1760320.0,785140.0,0.44602117796764224,3,16,1,MN,0.5155051354299218
ALRS,2020,ND,2527305.0,1072809.0,0.4244873491723397,3,15,1,MN,0.5313953005276372
ALRS,2021,ND,2790064.0,1255904.0,0.45013447720195665,3,15,1,MN,0.5079801036822095
ALRS,2022,ND,2696204.0,1210866.0,0.4491002906308276,3,15,1,MN,0.5096242717539178
ALRS,2023,ND,2925599.0,1200309.0,0.41027803195174734,3,16,1,MN,0.4853518886217831
ALRS,2024,ND,3366799.0,1279706.0,0.38009575267189993,3,14,1,MN,0.5233983377089039
ALRS,2025,ND,4380809.0,1389949.0,0.3172813514581439,5,29,1,MN,0.583173336249081
AUB,2009,VA,1231269.0,1231269.0,1.0,1,39,1,VA,1.0
AUB,2010,VA,3124859.0,3124859.0,1.0,1,93,3,VA,1.0
AUB,2011,VA,3113268.0,3113268.0,1.0,1,99,1,VA,1.0
AUB,2012,VA,3227188.0,3227188.0,1.0,1,93,1,VA,1.0
AUB,2013,VA,3271440.0,3271440.0,1.0,1,89,1,VA,1.0
AUB,2014,VA,5743669.0,5743669.0,1.0,1,131,1,VA,1.0
AUB,2015,VA,5794802.0,5794802.0,1.0,1,130,1,VA,1.0
AUB,2016,VA,6101710.0,6101710.0,1.0,1,119,1,VA,1.0
AUB,2017,VA,6770565.0,6770565.0,1.0,1,111,1,VA,1.0
AUB,2018,VA,9806589.0,9419406.0,0.9605180761628738,3,146,1,VA,0.9605180761628738
AUB,2019,VA,12531549.0,12169312.0,0.9710939964405039,3,152,1,VA,0.9710939964405039
