entry_date,ls
2011-01-13,0.03027161687668963
2011-04-14,-0.024565395136204
2011-06-09,-0.008996400788333598
2011-07-28,-0.049253284394095154
2011-09-08,0.019515132727139155
2011-10-20,-0.029077904351277547
2011-12-01,0.01937059383062915
2012-01-12,-0.017087913064648002
2012-03-01,0.04881851623725038
2012-04-12,-0.013198186653977836
2012-06-07,-0.0025039020335660598
2012-07-19,0.03212889544626374
2012-08-30,0.005681188307850471
2012-10-11,-7.101759872999922e-05
2012-11-29,0.044644935316295396
2013-01-17,0.01867911851732074
2013-03-07,-0.018729112476603877
2013-04-18,-0.03877559547346232
2013-06-06,0.022602504491469277
2013-07-18,-0.009759498400037092
2013-09-05,0.01982289960477024
2013-10-17,-0.03455574039894568
2013-12-05,-0.0043760865587007345
2014-01-16,0.021769752234664746
2014-03-06,0.006954360766486964
2014-04-17,-0.04113851517053483
2014-06-05,0.012360410057012421
2014-07-17,0.014469383086830693
2014-09-04,-0.04158620697885862
2014-10-16,-0.003714452077226614
2014-12-04,0.029646279612727623
2015-01-15,-0.02221243820177654
2015-04-16,0.00301401385459954
2015-06-04,0.003265041144064524
2015-07-16,-0.0008175466788717944
2015-09-03,0.011988796483001846
2015-10-15,-0.017442760486371948
2015-12-03,-0.020019870634209923
2016-01-14,-0.020377745601434384
2016-03-03,0.02001151014546646
2016-04-14,0.0105748929514341
2016-06-02,0.0016740814493975131
2016-07-14,-0.027825841282218506
2016-09-08,0.003674034486319385
2016-10-20,0.02515567485786141
2016-12-01,0.006855502588225834
2017-01-19,-0.01708106111083988
2017-03-02,-0.02061321625063291
2017-04-20,-0.0001245217576816282
2017-06-01,-0.0023472441776975685
2017-07-13,0.021218705833287256
2017-09-07,0.003082427500952741
2017-10-19,-0.009367076725855943
2017-11-30,-0.015160123222909492
2018-01-18,-0.0315283789324133
2018-03-08,0.013360871469290807
2018-04-19,-0.017402251629384063
2018-05-31,0.013767129584231725
2018-07-19,0.014907705801943968
2018-09-13,0.019635688849591215
2018-10-25,0.013006060899910965
2018-12-06,-0.006620618171123544
2019-01-17,0.007304526023669194
2019-03-07,-0.008253872518897126
2019-04-18,0.004855530429328698
2019-06-06,-0.005996523167642358
2019-07-18,0.04636256333187172
2019-09-05,-0.008804821459924561
2019-10-17,0.0240368636840933
2019-11-29,0.006918365619839791
2020-01-16,-0.01873016195544156
2020-03-05,0.14607636807695326
2020-04-16,-0.0358424605908656
2020-05-28,0.0006195128417875555
2020-07-16,-0.03345719997086801
2020-09-03,0.013372081088044479
2020-10-22,-0.10138171827461788
2020-12-03,-0.01583451610568498
2021-01-14,0.03726313013065492
2021-03-04,0.03584157433723808
2021-04-15,-0.029290953834661366
2021-06-03,-0.010792533344799236
2021-07-15,-0.01627353103256331
2021-09-09,-0.007777765792648253
2021-10-21,-0.009431608113545636
2021-12-02,0.022244961518851025
2022-01-13,0.057270453632788446
2022-03-03,-0.012825897355172736
2022-04-21,0.0127230023790749
2022-06-02,-0.013236447119845767
2022-07-14,-0.008535669813054092
2022-09-08,-0.045149122759896354
2022-10-20,-0.01710902766692975
2022-12-01,-0.003608186984680647
2023-01-19,0.042371717500194236
2023-03-09,0.029255262131284633
2023-04-20,0.05340459366383173
2023-06-01,0.025653779593454752
2023-07-13,-0.031222960220323264
2023-09-07,0.03498501063963655
2023-10-19,-0.027594255559839853
2023-11-30,-0.015205149048442907
2024-01-18,0.03838234859998816
2024-03-07,0.037430985074566624
2024-04-18,0.03419063928572763
2024-05-30,0.04243017103684036
2024-07-18,-0.06337009279686483
2024-09-05,-0.04213038693548543
2024-10-24,-0.0019789489730907377
2024-12-05,0.023859583065409064
2025-01-16,0.003734589401307886
2025-03-06,0.007524699888572404
2025-04-24,0.05331276617762344
2025-06-05,-0.014212942508740424
2025-07-17,-0.023104513860677394
2025-09-04,-0.003215069188302685
2025-10-16,0.02608472812310192
2025-11-28,-0.04036759136071725
2026-01-15,-0.030979893586718855
2026-03-05,-0.0047684332258541105
2026-04-16,0.03973310284825615
2026-06-04,-0.014828099027621795
