feature,horizon,n,ic_pearson,p,ic_spearman,p_spearman,survives_bh10
z8,5,1476,0.0038390695138683737,0.882841704154985,-0.005401681135455423,0.8357353518420234,False
z8,21,1464,0.015348294941660576,0.5573425434477279,-0.006269013020743799,0.8105907205213583,False
z8,42,1452,0.027218921014300942,0.2999787436006985,0.008599462566468258,0.7433597862609597,False
chg,5,1560,0.018322350657366617,0.46958436311893703,0.0036153424915211308,0.8865424449643992,False
chg,21,1548,0.05081755632032074,0.045600286601777375,0.025450259985198884,0.31697945913816167,False
chg,42,1536,0.0704019756082673,0.005773735597345472,0.05217191779837386,0.04091000019021877,True
